"region","reg","regov","nofedgov","edu","norepgov","elect","repower","sharia","biz","equota","privrep","privfed","tension","disrep","age","income","male","urban","nocitizen","means","native","fedrite","fedimpact","fedcorr","muslim","ritual","quran","relstate","imptnce","reledu","sharia2","incomesq","Total.victims","Unemployment","av.salary"
1,"n ossetia",1,2,5,1,1,1,2,4,0,3,3,1,3,1,5,1,1,1,0,1,3,1,3,0,2,2,1,3,2,2,25,77,3.1,9342.6
1,"n ossetia",4,2,3,2,4,1,1,4,0,3,4,1,3,2,3,1,1,1,0.222222222,1,4,1,5,0,3,3,1,4,5,1,9,77,3.1,9342.6
1,"n ossetia",1.9375,3,6,2,4,1,1,4,0.541666667,1,3,2,4,2,2,0,1,2,0,1,3,3,3,0,4,3,2,3,1,1,4,77,3.1,9342.6
1,"n ossetia",1,3,5,2.440594059,2,3,3,3,0,4,4,2,2,3,2,0,1,1,1,1,4,4,4,0,1,5,2,3,2,3,4,77,3.1,9342.6
1,"n ossetia",1,2,5,2,2,2.246808511,1,4,0.765957447,4,4,1,2,1,4,0,1,2,0.608510638,1,2.880851064,3,2,0,2,5,2,2,1,1,16,77,3.1,9342.6
1,"n ossetia",3,2.729411765,4,2.817647059,2,1,1,2.611764706,1,2,1,1.988235294,3,6,1,1,1,1,0,0,3,1.694117647,2.364705882,0,3,4.076470588,1,3,1.517647059,1,1,77,3.1,9342.6
1,"n ossetia",2.563636364,3,5,3,3,1,4,3,0.593939394,3,4,1,4,2,4,1,1,1,0,1,4,4,5,0,2,3,4,2,3,4,16,77,3.1,9342.6
1,"n ossetia",2.094017094,2,6,2.094017094,2.128205128,2,1.444444444,5,1,4,2.846153846,2.316239316,4,5,1,0,1,1,0,1,4,4,5,0,9,3.384615385,9,4,4.760683761,1,1,77,3.1,9342.6
1,"n ossetia",2.428571429,2.616541353,6,2.428571429,3.142857143,2.203007519,1,5,0.30075188,2,3.022556391,1.616541353,3,4,3,0,1,1,0,1,3.195488722,2,1,0,3,4,3,3,4,1,9,77,3.1,9342.6
1,"n ossetia",2,2.427419355,4,2.056451613,3.137096774,3,2,4,0.379032258,2,3,2,3,6,3.411290323,0,1,2,0,0,2,1,3,0,2,3,3,3,4,2,11.63690186,77,3.1,9342.6
1,"n ossetia",3,3,5,3,2,3,1,4,0,3,2,1,4,3,4,0,1,1,0,1,2.103030303,1,2,0,3,4,3,3,1,1,16,77,3.1,9342.6
1,"n ossetia",3.164383562,2,5,3.465753425,2,4,2,2,1,4,4,1,4,6,3,1,1,2,1,0,1,3,4,0,2,4,2,2,5,2,9,77,3.1,9342.6
1,"n ossetia",2,2.202898551,6,3,4,3,2,4,0,2,1,2,3,2,1,0,1,3,0,1,4,1,4,0,3,3,2,3,1,2,1,77,3.1,9342.6
